"term_id";"parent_id";"term_name_ES";"term_name_CA";"term_description_ES";"term_description_CA"
"4.b ";4;"4.b. De aquí a 2020, aumentar considerablemente a nivel mundial el número de becas disponibles para los países en desarrollo, en particular los países menos adelantados, los pequeños Estados insulares en desarrollo y los países africanos, a fin de que sus estudiantes puedan matricularse en programas de enseñanza superior, incluidos programas de formación profesional y programas técnicos, científicos, de ingeniería y de tecnología de la información y las comunicaciones, de países desarrollados y otros países en desarrollo";"4.b. Per a 2020, augmentar substancialment a escala mundial el nombre de beques disponibles per als països en desenvolupament, en particular els països menys avançats, els petits estats insulars en desenvolupament i els països d’Àfrica, perquè els seus estudiants puguin matricular-se en programes d’estudis superiors, inclosos programes de formació professional i programes tècnics, científics, d’enginyeria i de tecnologies de la informació i la comunicació, a països desenvolupats i a països en desenvolupament.";;
"4.c ";4;"4.c. De aquí a 2030, aumentar considerablemente la oferta de docentes calificados, incluso mediante la cooperación internacional para la formación de docentes en los países en desarrollo, especialmente los países menos adelantados y los pequeños Estados insulares en desarrollo";"4.c. Per a 2030, augmentar substancialment l’oferta de mestres qualificats mitjançant, entre d’altres, la cooperació internacional per a la formació de docents als països en desenvolupament, especialment als països menys avançats i als petits estats insulars en desenvolupament.";;
"4.1.1 ";4.1;"Proporción de niños, niñas y adolescentes que, a) en los cursos segundo y tercero, b) al final de la enseñanza primaria y c) al final de la enseñanza secundaria inferior, han alcanzado al menos un nivel mínimo de competencia en i) lectura y ii) matemáticas, desglosada por sexo";;;
"4.2.1 ";4.2;"Proporción de niños menores de 5 años cuyo desarrollo es adecuado en cuanto a la salud, el aprendizaje y el bienestar psicosocial, desglosada por sexo";;;
"4.2.2 ";4.2;"Tasa de participación en el aprendizaje organizado (un año antes de la edad oficial de ingreso en la enseñanza primaria), desglosada por sexo";;;
"4.3.1 ";4.3;"Tasa de participación de los jóvenes y adultos en la enseñanza y formación académica y no académica en los últimos 12 meses, desglosada por sexo";;;
"4.4.1 ";4.4;"Proporción de jóvenes y adultos con competencias en tecnología de la información y las comunicaciones (TIC), desglosada por tipo de competencia técnica";;;
"4.5.1 ";4.5;"Índices de paridad (entre mujeres y hombres, zonas rurales y urbanas, quintiles de riqueza superior e inferior y grupos como los discapacitados, los pueblos indígenas y los afectados por los conflictos, a medida que se disponga de datos) para todos los indicadores educativos de esta lista que puedan desglosarse";;;
"4.6.1 ";4.6;"Proporción de la población en un grupo de edad determinado que ha alcanzado al menos un nivel fijo de competencia funcional en a) alfabetización y b) nociones elementales de aritmética, desglosada por sexo";;;
"4.7.1 ";4.7;"Grado en que i) la educación para la ciudadanía mundial y ii) la educación para el desarrollo sostenible, incluida la igualdad de género y los derechos humanos, se incorporan en todos los niveles de a) las políticas nacionales de educación, b) los planes de estudio, c) la formación del profesorado y d) la evaluación de los estudiantes";;;
"4.a.1 ";"4.a";"Proporción de escuelas con acceso a a) electricidad, b) Internet con fines pedagógicos, c) computadoras con fines pedagógicos, d) infraestructura y materiales adaptados a los estudiantes con discapacidad, e) suministro básico de agua potable, f) instalaciones de saneamiento básicas separadas por sexo y g) instalaciones básicas para el lavado de manos (según las definiciones de los indicadores WASH)";;;
"4.b.1 ";"4.b";"Volumen de la asistencia oficial para el desarrollo destinada a becas, desglosado por sector y tipo de estudio";;;
"4.c.1 ";"4.c";"Proporción del profesorado de educación a) preescolar, b) primaria, c) secundaria inferior y d) secundaria superior que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo (por ejemplo, formación pedagógica) exigida para impartir enseñanza a cada nivel en un país determinado";;;
"5.1 ";5;"5.1. Poner fin a todas las formas de discriminación contra todas las mujeres y las niñas en todo el mundo";"5.1. Posar fi a totes les formes de discriminació contra totes les dones i nenes a tot el món.";;
"5.2 ";5;"5.2. Eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado, incluidas la trata y la explotación sexual y otros tipos de explotación";"5.2. Eliminar totes les formes de violència contra totes les dones i nenes en els àmbits públic i privat, inclosos el tràfic i l’explotació sexual, així com altres tipus d’explotació.";;
"5.3 ";5;"5.3. Eliminar todas las prácticas nocivas, como el matrimonio infantil, precoz y forzado y la mutilación genital femenina";"5.3. Eliminar totes les pràctiques nocives, com el matrimoni infantil, precoç i forçat, així com la mutilació genital femenina.";;
"5.4 ";5;"5.4. Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país";"5.4. Reconèixer i valorar les cures no remunerades i el treball domèstic no remunerat, mitjançant la prestació de serveis públics, la provisió d’infraestructures i la formulació de polítiques de protecció social, així com mitjançant la promoció de la responsabilitat compartida a la llar i la família, segons escaigui a cada país.";;
"5.5 ";5;"5.5. Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública";"5.5. Vetllar per la participació plena i efectiva de les dones, i per la igualtat d’oportunitats de lideratge en tots els àmbits de presa de decisions en la vida política, econòmica i pública.";;
"5.6 ";5;"5.6. Asegurar el acceso universal a la salud sexual y reproductiva y los derechos reproductivos según lo acordado de conformidad con el Programa de Acción de la Conferencia Internacional sobre la Población y el Desarrollo, la Plataforma de Acción de Beijing y los documentos finales de sus conferencias de examen";"5.6. Garantir l’accés universal a la salut sexual i reproductiva i als drets reproductius, de conformitat amb el Programa d’acció de la Conferència Internacional sobre la Població i el Desenvolupament, la Plataforma d’Acció de Beijing i els documents finals de les conferències d’examen respectives.";;
"5.a ";5;"5.a. Emprender reformas que otorguen a las mujeres igualdad de derechos a los recursos económicos, así como acceso a la propiedad y al control de la tierra y otros tipos de bienes, los servicios financieros, la herencia y los recursos naturales, de conformidad con las leyes nacionales";"5.a. Emprendre reformes que atorguin a les dones el dret als recursos econòmics en condicions d’igualtat, així com l’accés a la propietat i al control de les terres i altres béns, els serveis financers, l’herència i els recursos naturals, de conformitat amb les lleis nacionals.";;
"5.b ";5;"5.b. Mejorar el uso de la tecnología instrumental, en particular la tecnología de la información y las comunicaciones, para promover el empoderamiento de las mujeres";"5.b. Millorar l’ús de la tecnologia instrumental, en particular les tecnologies de la informació i la comunicació, per tal de promoure l’apoderament de les dones.";;
"5.c ";5;"5.c. Aprobar y fortalecer políticas acertadas y leyes aplicables para promover la igualdad de género y el empoderamiento de todas las mujeres y las niñas a todos los niveles";"5.c. Adoptar i enfortir polítiques encertades i lleis aplicables per a promoure la igualtat entre els gèneres i l’apoderament de dones i nenes a tots els nivells.";;
"5.1.1 ";5.1;"Determinar si existen o no marcos jurídicos para promover, hacer cumplir y supervisar la igualdad y la no discriminación por razón de sexo";;;
"5.2.1 ";5.2;"Proporción de mujeres y niñas a partir de 15 años de edad que han sufrido violencia física, sexual o psicológica a manos de su actual o anterior pareja en los últimos 12 meses, desglosada por forma de violencia y edad";;;
"5.2.2 ";5.2;"Proporción de mujeres y niñas a partir de 15 años de edad que han sufrido violencia sexual a manos de personas que no eran su pareja en los últimos12 meses, desglosada por edad y lugar del hecho";;;
"5.3.1 ";5.3;"Proporción de mujeres de entre 20 y 24 años que estaban casadas o mantenían una unión estable antes de cumplir los 15 años y antes de cumplir los 18 años";;;
"5.3.2 ";5.3;"Proporción de niñas y mujeres de entre 15 y 49 años que han sufrido mutilación o ablación genital femenina, desglosada por edad";;;
"5.4.1 ";5.4;"Proporción de tiempo dedicado al trabajo doméstico y asistencial no remunerado, desglosada por sexo, edad y ubicación";;;
"5.5.1 ";5.5;"Proporción de escaños ocupados por mujeres en a) los parlamentos nacionales y b) los gobiernos locales";;;
"5.5.2 ";5.5;"Proporción de mujeres en cargos directivos";;;
"5.6.1 ";5.6;"Proporción de mujeres de entre 15 y 49 años que toman sus propias decisiones informadas sobre las relaciones sexuales, el uso de anticonceptivos y la atención de la salud reproductiva";;;
"5.6.2 ";5.6;"Número de países con leyes y reglamentos que garantizan a los hombres y las mujeres a partir de los 15 años de edad un acceso pleno e igualitario a los servicios de salud sexual y reproductiva y a la información y educación al respecto";;;
"5.a.1 ";"5.a";"a) Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas, desglosada por sexo; y b) proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia";;;
"5.a.2 ";"5.a";"Proporción de países cuyo ordenamiento jurídico (incluido el derecho consuetudinario) garantiza la igualdad de derechos de la mujer a la propiedad o el control de las tierras";;;
"5.b.1 ";"5.b";"Proporción de personas que poseen un teléfono móvil, desglosada por sexo";;;
"5.c.1 ";"5.c";"Proporción de países con sistemas para el seguimiento de la igualdad de género y el empoderamiento de las mujeres y la asignación de fondos públicos para ese fin";;;
"6.1 ";6;"6.1. De aquí a 2030, lograr el acceso universal y equitativo al agua potable a un precio asequible para todos";"6.1. Per a 2030, aconseguir l’accés universal i equitatiu a l’aigua potable, a un preu assequible per a totes les persones.";;
"6.2 ";6;"6.2. De aquí a 2030, lograr el acceso a servicios de saneamiento e higiene adecuados y equitativos para todos y poner fin a la defecación al aire libre, prestando especial atención a las necesidades de las mujeres y las niñas y las personas en situaciones de vulnerabilidad";"6.2. Per a 2030, aconseguir l’accés equitatiu a serveis de sanejament i higiene adequats per a totes les persones, i posar fi a la defecació a l’aire lliure, amb especial atenció a les necessitats de les dones i nenes, així com de les persones en situacions vulnerables.";;
"6.3 ";6;"6.3. De aquí a 2030, mejorar la calidad del agua reduciendo la contaminación, eliminando el vertimiento y minimizando la emisión de productos químicos y materiales peligrosos, reduciendo a la mitad el porcentaje de aguas residuales sin tratar y aumentando considerablemente el reciclado y la reutilización sin riesgos a nivel mundial";"6.3. Per a 2030, millorar la qualitat de l’aigua mitjançant la reducció de la contaminació, l’eliminació dels abocaments i la reducció al mínim de la descàrrega de materials i productes químics perillosos, la reducció a la meitat del percentatge d’aigües residuals sense tractar, i un augment substancial a escala mundial del reciclat i de la reutilització en condicions de seguretat.";;
"6.4 ";6;"6.4. De aquí a 2030, aumentar considerablemente el uso eficiente de los recursos hídricos en todos los sectores y asegurar la sostenibilidad de la extracción y el abastecimiento de agua dulce para hacer frente a la escasez de agua y reducir considerablemente el número de personas que sufren falta de agua";"6.4. Per a 2030, augmentar substancialment la utilització eficient dels recursos hídrics a tots els sectors, i assegurar la sostenibilitat de l’extracció i del subministrament d’aigua potable per tal de fer front a l’escassetat d’aigua i reduir substancialment el nombre de persones que pateixen d’escassetat d’aigua.";;
"6.5 ";6;"6.5. De aquí a 2030, implementar la gestión integrada de los recursos hídricos a todos los niveles, incluso mediante la cooperación transfronteriza, según proceda";"6.5. Per a 2030, dur a terme una gestió integrada dels recursos hídrics a tots els nivells, també mitjançant la cooperació transfronterera, de la manera que sigui convenient.";;
"6.6 ";6;"6.6. De aquí a 2020, proteger y restablecer los ecosistemas relacionados con el agua, incluidos los bosques, las montañas, los humedales, los ríos, los acuíferos y los lagos";"6.6. Per a 2020, protegir i restablir els ecosistemes relacionats amb l’aigua, inclosos boscos, muntanyes, aiguamolls, rius, aqüífers i llacs.";;
"6.a";6;"6.a. De aquí a 2030, ampliar la cooperación internacional y el apoyo prestado a los países en desarrollo para la creación de capacidad en actividades y programas relativos al agua y el saneamiento, como los de captación de agua, desalinización, uso eficiente de los recursos hídricos, tratamiento de aguas residuales, reciclado y tecnologías de reutilización";"6.a. Per a 2030, ampliar la cooperació internacional i el suport ofert als països en desenvolupament per a la capacitació en matèria d’activitats i programes relatius a l’aigua i el sanejament, incloent la provisió i l’emmagatzematge d’aigua, la dessalinització, l’aprofitament eficient dels recursos hídrics, el tractament d’aigües residuals i les tecnologies de reciclatge i reutilització.";;
"6.b ";6;"6.b. Apoyar y fortalecer la participación de las comunidades locales en la mejora de la gestión del agua y el saneamiento";"6.b. Donar suport i enfortir la participació de les comunitats locals en la millora de la gestió de l'aigua i el sanejament";;
"6.1.1 ";6.1;"Proporción de la población que utiliza servicios de suministro de agua potable gestionados sin riesgos";;;
"6.2.1 ";6.2;"Proporción de la población que utiliza: a) servicios de saneamiento gestionados sin riesgos y b) instalaciones para el lavado de manos con agua y jabón";;;
"6.3.1 ";6.3;"Proporción de aguas residuales tratadas de manera adecuada";;;
"6.3.2 ";6.3;"Proporción de masas de agua de buena calidad";;;
"6.4.1 ";6.4;"Cambio en el uso eficiente de los recursos hídricos con el paso del tiempo";;;
"6.4.2 ";6.4;"Nivel de estrés hídrico: extracción de agua dulce en proporción a los recursos de agua dulce disponibles";;;
"6.5.1 ";6.5;"Grado de implementación de la gestión integrada de los recursos hídricos (0‑100)";;;
"6.5.2 ";6.5;"Proporción de la superficie de cuencas transfronterizas sujetas a arreglos operacionales para la cooperación en materia de aguas";;;
"6.6.1 ";6.6;"Cambio en la extensión de los ecosistemas relacionados con el agua con el paso del tiempo";;;
"6.a.1 ";"6.a";"Volumen de la asistencia oficial para el desarrollo destinada al agua y el saneamiento que forma parte de un plan de gastos coordinados por el gobierno";;;
"6.b.1 ";"6.b";"Proporción de dependencias administrativas locales que han establecido políticas y procedimientos operacionales para la participación de las comunidades locales en la gestión del agua y el saneamiento";;;
"7.1 ";7;"7.1. De aquí a 2030, garantizar el acceso universal a servicios energéticos asequibles, fiables y modernos";"7.1. Per a 2030, garantir l’accés universal a serveis d’energia assequibles, confiables i moderns.";;
"7.2 ";7;"7.2. De aquí a 2030, aumentar considerablemente la proporción de energía renovable en el conjunto de fuentes energéticas";"7.2. Per a 2030, augmentar substancialment el percentatge d’energia renovable en el conjunt de fonts d’energia.";;
"7.3 ";7;"7.3. De aquí a 2030, duplicar la tasa mundial de mejora de la eficiencia energética";"7.3. Per a 2030, duplicar la taxa mundial de millora de l’eficiència energètica.";;
"7.a ";7;"7.a. De aquí a 2030, aumentar la cooperación internacional para facilitar el acceso a la investigación y la tecnología relativas a la energía limpia, incluidas las fuentes renovables, la eficiencia energética y las tecnologías avanzadas y menos contaminantes de combustibles fósiles, y promover la inversión en infraestructura energética y tecnologías limpias";"7.a. Per a 2030, augmentar la cooperació internacional per tal de facilitar l’accés a la investigació i a les tecnologies energètiques no contaminants, incloses les fonts d’energia renovables, l’eficiència energètica i les tecnologies de combustibles fòssils avançades i menys contaminants, i promoure la inversió en infraestructures energètiques i tecnologies d’energia no contaminant.";;
"7.b ";7;"7.b. De aquí a 2030, ampliar la infraestructura y mejorar la tecnología para prestar servicios energéticos modernos y sostenibles para todos en los países en desarrollo, en particular los países menos adelantados, los pequeños Estados insulares en desarrollo y los países en desarrollo sin litoral, en consonancia con sus respectivos programas de apoyo";"7.b. Per a 2030, ampliar la infraestructura i millorar la tecnologia per tal d’oferir serveis d’energia moderns i sostenibles per a tots els països en desenvolupament, en particular els països menys avançats, els petits estats insulars en desenvolupament i els països en desenvolupament sense litoral, d’acord amb els programes de suport respectius.";;
"7.1.1 ";7.1;"Proporción de la población que tiene acceso a la electricidad";;;
"7.1.2 ";7.1;"Proporción de la población cuya fuente primaria de energía son los combustibles y tecnologías limpios";;;
"7.2.1";7.2;" Proporción de energía renovable en el consumo final total de energía";;;
"7.3.1 ";7.3;"Intensidad energética medida en función de la energía primaria y el PIB";;;
"7.a.1 ";"7.a";"Corrientes financieras internacionales hacia los países en desarrollo para apoyar la investigación y el desarrollo de energías limpias y la producción de energía renovable, incluidos los sistemas híbridos";;;
"7.b.1 ";"7.b";"Inversiones en eficiencia energética en proporción al PIB y a la cuantía de la inversión extranjera directa en transferencias financieras destinadas a infraestructura y tecnología para servicios de desarrollo sostenible";;;
"8.1 ";8;"8.1. Mantener el crecimiento económico per cápita de conformidad con las circunstancias nacionales y, en particular, un crecimiento del producto interno bruto de al menos el 7% anual en los países menos adelantados";"8.1. Mantenir el creixement econòmic per capita de conformitat amb les circumstàncies nacionals i, en particular, un creixement del producte interior brut d’almenys un 7% anual als països menys avançats.";;
"8.2 ";8;"8.2. Lograr niveles más elevados de productividad económica mediante la diversificación, la modernización tecnológica y la innovación, entre otras cosas centrándose en los sectores con gran valor añadido y un uso intensivo de la mano de obra";"8.2. Aconseguir nivells més elevats de productivitat econòmica mitjançant la diversificació, la modernització tecnològica i la innovació, entre d’altres maneres centrant l’atenció en sectors de més valor afegit i ús intensiu de mà d’obra.";;
"8.3 ";8;"8.3. Promover políticas orientadas al desarrollo que apoyen las actividades productivas, la creación de puestos de trabajo decentes, el emprendimiento, la creatividad y la innovación, y fomentar la formalización y el crecimiento de las microempresas y las pequeñas y medianas empresas, incluso mediante el acceso a servicios financieros";"8.3. Promoure polítiques orientades al desenvolupament que donin suport a les activitats productives, la creació d’ocupació digna, l’emprenedoria, la creativitat i la innovació, i encoratjar la regularització i el creixement de les microempreses i les petites i mitjanes empreses, a través, entre d’altres, de l’accés a serveis financers.";;
"8.4 ";8;"8.4. Mejorar progresivamente, de aquí a 2030, la producción y el consumo eficientes de los recursos mundiales y procurar desvincular el crecimiento económico de la degradación del medio ambiente, conforme al Marco Decenal de Programas sobre Modalidades de Consumo y Producción Sostenibles, empezando por los países desarrollados";"8.4. Millorar progressivament, per a 2030, la producció i el consum eficients dels recursos mundials i procurar desvincular el creixement econòmic de la degradació del medi ambient, de conformitat amb el Marc decennal de programes sobre modalitats sostenibles de consum i producció, començant pels països desenvolupats.";;
"8.5 ";8;"8.5. De aquí a 2030, lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y los hombres, incluidos los jóvenes y las personas con discapacidad, así como la igualdad de remuneración por trabajo de igual valor";"8.5. Per a 2030, aconseguir l’ocupació plena i productiva i garantir un treball digne per a tots els homes i dones, inclosos el jovent i les persones amb discapacitat, així com la igualtat de remuneració per treball d’igual valor.";;
"8.6 ";8;"8.6. De aquí a 2020, reducir considerablemente la proporción de jóvenes que no están empleados y no cursan estudios ni reciben capacitación";"8.6. Per a 2020, reduir substancialment la proporció de joves sense ocupació i que no cursen estudis ni reben formació.";;
"8.7 ";8;"8.7. Adoptar medidas inmediatas y eficaces para erradicar el trabajo forzoso, poner fin a las formas contemporáneas de esclavitud y la trata de personas y asegurar la prohibición y eliminación de las peores formas de trabajo infantil, incluidos el reclutamiento y la utilización de niños soldados, y, de aquí a 2025, poner fin al trabajo infantil en todas sus formas";"8.7. Adoptar mesures immediates i eficaces per a erradicar el treball forçat, posar fi a les formes modernes d’esclavitud i el tràfic d’éssers humans i assegurar la prohibició i l’eliminació de les pitjors formes de treball infantil, incloent el reclutament i la utilització d’infants soldats, i, a tot tardar el 2025, posar fi al treball infantil en totes les seves formes.";;
"8.8 ";8;"8.8. Proteger los derechos laborales y promover un entorno de trabajo seguro y sin riesgos para todos los trabajadores, incluidos los trabajadores migrantes, en particular las mujeres migrantes y las personas con empleos precarios";"8.8. Protegir els drets laborals i promoure un entorn de treball segur i protegit per a totes les persones treballadores, incloses les migrants, en particular les dones migrants i les persones amb ocupacions precàries.";;
"8.9 ";8;"8.9. De aquí a 2030, elaborar y poner en práctica políticas encaminadas a promover un turismo sostenible que cree puestos de trabajo y promueva la cultura y los productos locales";"8.9. Per a 2030, elaborar i posar en pràctica polítiques de promoció d’un turisme sostenible que creï ocupació i promogui la cultura i els productes locals.";;
"8.10 ";8;"8.10. Fortalecer la capacidad de las instituciones financieras nacionales para fomentar y ampliar el acceso a los servicios bancarios, financieros y de seguros para todos";"8.10. Reforçar les institucions financeres nacionals per a encoratjar i ampliar l’accés als serveis bancaris, financers i d’assegurances per a tothom.";;
"8.a ";8;"8.a. Aumentar el apoyo a la iniciativa de ayuda para el comercio en los países en desarrollo, en particular los países menos adelantados, incluso mediante el Marco Integrado Mejorado para la Asistencia Técnica a los Países Menos Adelantados en Materia de Comercio";"8.a. Augmentar el suport a la iniciativa d’ajut per al comerç als països en desenvolupament, en particular els països menys avançats, també en el context del Marc integrat millorat d’assistència tècnica relacionada amb el comerç per als països menys avançats.";;
"8.b ";8;"8.b. De aquí a 2020, desarrollar y poner en marcha una estrategia mundial para el empleo de los jóvenes y aplicar el Pacto Mundial para el Empleo de la Organización Internacional del Trabajo";"8.b. Per a 2020, desenvolupar i posar en marxa una estratègia mundial per a l’ocupació del jovent i aplicar el Pacte mundial per a l’ocupació de l’Organització Internacional del Treball (OIT).";;
"8.1.1 ";8.1;"Tasa de crecimiento anual del PIB real per cápita";;;
"8.2.1 ";8.2;"Tasa de crecimiento anual del PIB real por persona empleada";;;
"8.3.1 ";8.3;"Proporción de empleo informal en el sector no agrícola, desglosada por sexo";;;
"8.4.1 ";8.4;"Huella material en términos absolutos, huella material per cápita y huella material por PIB";;;
"8.4.2 ";8.4;"Consumo material interno en términos absolutos, consumo material interno per cápita y consumo material interno por PIB";;;
"8.5.1 ";8.5;"Ingreso medio por hora de empleadas y empleados, desglosado por ocupación, edad y personas con discapacidad";;;
"8.5.2 ";8.5;"Tasa de desempleo, desglosada por sexo, edad y personas con discapacidad";;;
"8.6.1 ";8.6;"Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación";;;
"8.7.1 ";8.7;"Proporción y número de niños de entre 5 y 17 años que realizan trabajo infantil, desglosados por sexo y edad";;;
"8.8.1 ";8.8;"Tasas de frecuencia de las lesiones ocupacionales mortales y no mortales, desglosadas por sexo y estatus migratorio";;;
"8.8.2 ";8.8;"Nivel de cumplimiento nacional de los derechos laborales (libertad de asociación y negociación colectiva) con arreglo a las fuentes textuales de la Organización Internacional del Trabajo (OIT) y la legislación interna, desglosado por sexo y estatus migratorio";;;
"8.9.1 ";8.9;"PIB generado directamente por el turismo en proporción al PIB total y a la tasa de crecimiento";;;
"8.9.2 ";8.9;"Proporción de empleos en el sector del turismo sostenible respecto del total de empleos del turismo";;;
"8.10.1 ";8.1;"a) Número de sucursales de bancos comerciales por cada 100.000 adultos y b) número de cajeros automáticos por cada 100.000 adultos";;;
"8.10.2 ";8.1;"Proporción de adultos (a partir de 15 años de edad) que tienen una cuenta en un banco u otra institución financiera o un proveedor de servicios de dinero móvil";;;
"8.a.1 ";"8.a";"Compromisos y desembolsos en relación con la iniciativa Ayuda para el Comercio";;;
"8.b.1 ";"8.b";"Existencia de una estrategia nacional organizada y en marcha para el empleo de los jóvenes, como estrategia independiente o como parte de una estrategia nacional de empleo";;;
"9.1 ";9;"9.1. Desarrollar infraestructuras fiables, sostenibles, resilientes y de calidad, incluidas infraestructuras regionales y transfronterizas, para apoyar el desarrollo económico y el bienestar humano, haciendo especial hincapié en el acceso asequible y equitativo para todos";"9.1. Desenvolupar infraestructures fiables, sostenibles, resilients i de qualitat, incloent infraestructures regionals i transfrontereres, per tal de donar suport al desenvolupament econòmic i al benestar humà, amb especial atenció a l’accés assequible i equitatiu per a totes les persones.";;
"9.2 ";9;"9.2. Promover una industrialización inclusiva y sostenible y, de aquí a 2030, aumentar significativamente la contribución de la industria al empleo y al producto interno bruto, de acuerdo con las circunstancias nacionales, y duplicar esa contribución en los países menos adelantados";"9.2. Promoure una industrialització inclusiva i sostenible i, a tot tardar el 2030, augmentar de manera significativa la contribució de la indústria a l’ocupació i al producte interior brut, d’acord amb les circumstàncies nacionals, i duplicar aquesta contribució als països menys avançats.";;
"9.3 ";9;"9.3. Aumentar el acceso de las pequeñas industrias y otras empresas, particularmente en los países en desarrollo, a los servicios financieros, incluidos créditos asequibles, y su integración en las cadenas de valor y los mercados";"9.3. Augmentar l’accés de les petites indústries i altres empreses, en particular en els països en desenvolupament, als serveis financers, incloent els crèdits assequibles, i la integració en les cadenes de valor i els mercats.";;
"9.4 ";9;"9.4. De aquí a 2030, modernizar la infraestructura y reconvertir las industrias para que sean sostenibles, utilizando los recursos con mayor eficacia y promoviendo la adopción de tecnologías y procesos industriales limpios y ambientalmente racionales, y logrando que todos los países tomen medidas de acuerdo con sus capacidades respectivas";"9.4. Per a 2030, modernitzar les infraestructures i reconvertir les indústries perquè siguin sostenibles, usant els recursos amb més eficàcia i promovent l’adopció de tecnologies i processos industrials nets i racionals ambientalment, i aconseguint que tots els països adoptin mesures d’acord amb les capacitats respectives.";;
"9.5 ";9;"9.5. Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, en particular los países en desarrollo, entre otras cosas fomentando la innovación y aumentando considerablemente, de aquí a 2030, el número de personas que trabajan en investigación y desarrollo por millón de habitantes y los gastos de los sectores público y privado en investigación y desarrollo";"9.5. Augmentar la investigació científica i millorar la capacitat tecnològica dels sectors industrials de tots els països, en particular els països en desenvolupament, entre d’altres maneres fomentant la innovació i augmentant substancialment, d’aquí al 2030, el nombre de persones que treballen en el camp de la investigació i el desenvolupament per cada milió d’habitants, així com la despesa en investigació i desenvolupament dels sectors públic i privat.";;
"9.a ";9;"9.a. Facilitar el desarrollo de infraestructuras sostenibles y resilientes en los países en desarrollo mediante un mayor apoyo financiero, tecnológico y técnico a los países africanos, los países menos adelantados, los países en desarrollo sin litoral y los pequeños Estados insulares en desarrollo";"9.a. Facilitar el desenvolupament d’infraestructures sostenibles i resilients als països en desenvolupament per mitjà de més suport financer, tecnològic i tècnic als països africans, països menys avançats, països en desenvolupament sense litoral i petits estats insulars en desenvolupament.";;
"9.b ";9;"9.b. Apoyar el desarrollo de tecnologías, la investigación y la innovación nacionales en los países en desarrollo, incluso garantizando un entorno normativo propicio a la diversificación industrial y la adición de valor a los productos básicos, entre otras cosas";"9.b. Donar suport al desenvolupament de tecnologies, investigació i innovació nacionals als països en desenvolupament, garantint també un entorn normatiu propici a la diversificació industrial i l’addició de valor als productes bàsics, entre d’altres.";;
"9.c ";9;"9.c. Aumentar significativamente el acceso a la tecnología de la información y las comunicaciones y esforzarse por proporcionar acceso universal y asequible a Internet en los países menos adelantados de aquí a 2020";"9.c. Augmentar de forma significativa l’accés a les tecnologies de la informació i la comunicació i esforçar-se a proporcionar accés universal i assequible a Internet als països menys avançats a tot tardar el 2020.";;
"9.1.1 ";9.1;"Proporción de la población rural que vive a menos de 2 km de una carretera transitable todo el año";;;
"9.1.2 ";9.1;"Volumen de transporte de pasajeros y carga, desglosado por medio de transporte";;;
"9.2.1 ";9.2;"Valor añadido del sector manufacturo en proporción al PIB y per cápita";;;
"9.2.2 ";9.2;"Empleo del sector manufacturero en proporción al empleo total";;;
"9.3.1 ";9.3;"Proporción del valor añadido total del sector industrial correspondiente a las pequeñas industrias";;;
"9.3.2 ";9.3;"Proporción de las pequeñas industrias que han obtenido un préstamo o una línea de crédito";;;
"9.4.1 ";9.4;"Emisiones de CO2 por unidad de valor añadido";;;
"9.5.1 ";9.5;"Gastos en investigación y desarrollo en proporción al PIB";;;
"9.5.2 ";9.5;"Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes";;;
"9.a.1 ";"9.a";"Total de apoyo internacional oficial (asistencia oficial para el desarrollo más otras corrientes oficiales de recursos) destinado a la infraestructura";;;
"9.b.1 ";"9.b";"Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total";;;
"9.c.1 ";"9.c";"Proporción de la población con cobertura de red móvil, desglosada por tecnología";;;
"10.1 ";10;"10.1. De aquí a 2030, lograr progresivamente y mantener el crecimiento de los ingresos del 40% más pobre de la población a una tasa superior a la media nacional";"10.1. Per a 2030, aconseguir progressivament i mantenir el creixement dels ingressos del 40% més pobre de la població a una taxa superior a la mitjana nacional.";;
"10.2 ";10;"10.2. De aquí a 2030, potenciar y promover la inclusión social, económica y política de todas las personas, independientemente de su edad, sexo, discapacidad, raza, etnia, origen, religión o situación económica u otra condición";"10.2. Per a 2030, potenciar i promoure la inclusió social, econòmica i política de totes les persones, independentment de l’edat, sexe, discapacitat, raça, ètnia, origen, religió, situació econòmica o altra condició.";;
